"39129090 - Cellulose et ses dérivés chimiques, n.d.a., sous formes primaires (à l'excl. des acétates, nitrates, éthers et esters de cellulose)"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Importation";"Valeur en euros";"Etats-Unis d Amérique";26702;65887;46470;178872;121727;219193;69288;118015;143398;193253;12429;311088;103424
"Importation";"Valeur en euros";"Finlande";39418;190150;2177;105598;92711;43174;171775;0;135669;103230;20337;4125;50727
"Importation";"Valeur en euros";"Espagne";68856;84311;3854;162876;18832;45211;38242;83712;31132;98924;30211;10422;45898
"Importation";"Valeur en euros";"Thaïlande";0;0;0;0;32684;2184;0;2186;0;19030;24480;29004;35350
"Importation";"Valeur en euros";"Suède";49;229;130;238;469;223;481;274;238;193;0;142;20966
"Importation";"Valeur en euros";"Italie";6400;0;0;12412;8981;19791;102;37356;15;0;1220;13593;19798
"Importation";"Valeur en euros";"Pays-Bas";51402;0;6763;19362;51199;2562;10791;6799;17768;25120;1748;29514;18838
"Importation";"Valeur en euros";"Canada";7387;52528;11311;85337;34493;10;0;472;132394;20100;89;0;18755
"Importation";"Valeur en euros";"Inde";22130;46075;6888;14598;77837;2707;31661;22770;0;19898;36542;4664;10431
"Importation";"Valeur en euros";"Chine";164494;144;162608;83;151756;120104;703;483;1795;7016;17051;11443;8014
"Importation";"Valeur en euros";"République tchèque";0;0;4217;0;0;0;0;0;0;0;0;0;5372
"Importation";"Valeur en euros";"Royaume-Uni";22;31102;18924;1042;17140;1765;20995;28353;521;2860;1678;5452;875
"Importation";"Valeur en euros";"Turquie";0;130;0;0;0;0;39;0;0;0;0;1000;541
"Importation";"Valeur en euros";"Pays non classifiés ailleurs";65;453;689;226;124;0;553;436;630;484;370;4366;315
"Importation";"Valeur en euros";"Portugal";0;0;0;0;130;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Mexique";0;0;0;0;0;0;0;0;0;1798;0;0;0
"Importation";"Valeur en euros";"Nigéria";0;3;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Norvège (yc Svalbard)";0;0;0;0;0;0;0;45300;0;0;0;0;0
"Importation";"Valeur en euros";"Pologne";39336;26280;26280;29369;26280;26280;26380;32476;0;111846;28192;59304;0
"Importation";"Valeur en euros";"Israël";0;3998;19;0;0;0;0;0;3317;0;0;0;0
"Importation";"Valeur en euros";"Hongrie";0;0;3771;0;0;0;436;0;0;0;0;0;0
"Importation";"Valeur en euros";"Corée du Sud";91744;0;92790;92869;0;0;0;0;0;0;81254;83007;0
"Importation";"Valeur en euros";"Luxembourg";0;0;0;0;0;0;0;0;0;706;3040;0;0
"Importation";"Valeur en euros";"Grèce";0;0;59;0;142;0;48;307;0;0;0;0;0
"Importation";"Valeur en euros";"Retour France";0;394;0;93;112;9033;10213;7710;694;5228;730;2823;0
"Importation";"Valeur en euros";"Suisse";43;473;150;0;122;305;0;0;0;208;0;0;0
"Importation";"Valeur en euros";"Brésil";23840;0;34461;0;74922;0;137929;41964;0;156064;24679;87460;0
"Importation";"Valeur en euros";"Bénin";0;0;0;0;8;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Australie";0;0;0;0;0;0;0;0;0;138;237;0;0
"Importation";"Valeur en euros";"Emirats Arabes Unis";0;88;0;0;2;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Autriche";0;0;0;0;0;0;0;0;43173;0;8573;0;0
"Importation";"Valeur en euros";"Taïwan";0;0;0;6993;35593;0;0;0;32809;0;32094;356;0
"Importation";"Valeur en euros";"Tunisie";0;0;0;0;0;0;0;0;0;9551;0;83880;0
"Importation";"Masse en kilogramme";"Total";185660;307104;197555;279351;358613;229374;296834;349642;279652;463482;300009;403009;219411
"Importation";"Masse en kilogramme";"Allemagne";102155;223119;115075;127028;176138;125769;138247;162575;140208;214943;136113;217972;121848
"Importation";"Masse en kilogramme";"Belgique";3118;253;166;940;42;6039;292;4340;6001;6432;1031;3159;22396
"Importation";"Masse en kilogramme";"Irlande";1768;6607;13681;46223;32998;16397;18142;77254;47281;68896;61439;41485;21785
"Importation";"Masse en kilogramme";"Danemark";0;0;0;0;0;0;3200;0;0;0;6400;0;12800
